WI06 TVD02 "Master clock"
0 21.625 0.31
0 21.625 5.36
8 21.625 10.57
13 21.625 15.57
17 21.625 20.57
22 21.625 25.57
27 21.625 30.58
31 21.625 35.63
36 21.625 40.66
40 21.625 45.7
45 21.625 50.75
49 21.625 55.77
54 21.625 60.83
59 21.625 65.87
63 21.625 70.92
68 21.6875 75.94
72 21.6875 80.99
77 21.6875 86.04
81 21.75 91.08
86 21.75 96.13
90 21.8125 101.18
95 21.8125 106.29
99 21.875 111.33
104 21.9375 116.57
108 21.9375 121.62
113 22.0 126.67
117 22.0625 131.72
122 22.125 136.75
126 22.1875 141.79
131 22.25 146.82
135 22.3125 151.88
140 22.375 156.93
144 22.4375 161.97
149 22.5 167.0
153 22.625 172.05
158 22.75 177.09
162 22.875 182.12
167 23.0 187.18
171 23.125 192.23
176 23.1875 197.27
180 23.3125 202.3
185 23.4375 207.35
189 23.5625 212.4
194 23.6875 217.44
198 23.8125 222.47
203 23.9375 227.52
207 24.125 232.57
212 24.1875 237.62
216 24.375 242.65
221 24.5 247.7
225 24.6875 252.85
230 24.875 257.9
235 25.0625 262.94
239 25.25 267.99
244 25.4375 273.03
248 25.625 278.06
253 25.8125 283.1
257 25.9375 288.13
262 26.1875 293.18
266 26.375 298.22
271 26.5625 303.27
275 26.8125 308.32
280 26.9375 313.36
284 27.1875 318.41
289 27.3125 323.44
293 27.5 328.49
298 27.75 333.55
302 27.9375 338.57
307 28.1875 343.62
311 28.375 348.65
316 28.6875 353.69
320 28.875 358.73
325 29.0625 363.77
329 29.3125 368.81
334 29.5625 373.87
338 29.875 378.92
343 30.0625 383.94
347 30.3125 388.99
352 30.5 394.04
356 30.75 399.1
361 31.0 404.12
366 31.1875 409.17
370 31.4375 414.22
375 31.6875 419.26
379 31.9375 424.31
384 32.125 429.36
388 32.375 434.4
393 32.5625 439.43
397 32.8125 444.47
402 33.0625 449.5
406 33.25 454.63
411 33.5 459.63
415 33.75 464.64
420 34.0 469.68
424 34.25 474.73
429 34.5625 479.76
433 34.8125 484.79
438 35.0 489.94
442 35.25 495.0
447 35.4375 500.05
451 35.6875 505.08
456 35.9375 510.13
460 36.125 515.17
465 36.3125 520.24
469 36.5625 525.28
474 36.75 530.32
478 37.0 535.37
488 37.375 540.57
492 37.5625 545.57
497 37.75 550.57
501 38.0 555.57
506 38.1875 560.6
510 38.4375 565.65
515 38.625 570.69
519 38.8125 575.72
524 39.0 580.78
528 39.25 585.83
533 39.4375 590.88
537 39.625 595.91
542 39.875 600.95
546 40.0625 606.0
551 40.3125 611.05
555 40.5 616.07
560 40.6875 621.12
564 40.875 626.17
569 41.0625 631.21
573 41.3125 636.25
578 41.5 641.28
582 41.6875 646.33
587 41.9375 651.37
591 42.1875 656.42
596 42.375 661.44
600 42.5625 666.49
605 42.6875 671.53
609 42.875 676.58
614 43.0625 681.63
618 43.25 686.65
623 43.5 691.7
627 43.6875 696.75
632 43.8125 701.79
637 44.0625 706.84
641 44.25 711.89
646 44.5 716.94
650 44.6875 721.98
655 44.875 727.03
659 45.0 732.08
664 45.1875 737.11
669 45.375 742.18
673 45.5625 747.22
678 45.75 752.26
682 45.9375 757.29
687 46.125 762.35
691 46.375 767.4
696 46.5625 772.43
700 46.8125 777.5
705 46.9375 782.55
710 47.125 787.58
714 47.3125 792.62
719 47.5 797.66
723 47.6875 802.71
728 47.875 807.75
732 48.0 812.78
737 48.25 817.85
741 48.375 822.9
746 48.5 827.94
750 48.6875 834.63
755 48.8125 839.63
760 49.0 844.65
764 49.1875 849.7
769 49.375 854.73
773 49.5625 859.77
778 49.6875 865.01
782 49.875 870.06
787 50.0 875.09
791 50.1875 880.13
796 50.375 885.17
800 50.5 890.22
805 50.625 895.26
809 50.8125 900.3
814 51.0 905.36
823 51.25 910.57
827 51.375 915.57
832 51.5 920.57
836 51.6875 925.57
841 51.8125 930.58
845 51.9375 935.63
850 52.1875 940.65
854 52.3125 945.71
859 52.4375 950.75
864 52.625 955.81
868 52.75 960.84
873 52.875 965.89
877 53.0625 970.93
882 53.1875 975.98
886 53.375 981.07
891 53.5625 986.1
895 53.75 991.14
900 53.875 996.18
904 54.0625 1001.23
909 54.25 1006.3
913 54.375 1011.35
918 54.5 1016.39
922 54.625 1021.44
927 54.75 1026.47
931 54.875 1031.54
936 55.0 1036.58
940 55.125 1041.61
945 55.3125 1046.67
949 55.375 1051.71
954 55.5625 1056.77
958 55.625 1061.81
963 55.75 1066.86
967 55.875 1071.9
972 56.0 1076.98
976 56.0625 1082.02
981 56.1875 1087.07
985 56.3125 1092.11
990 56.4375 1097.16
994 56.625 1102.2
999 56.75 1107.25
1003 56.875 1112.28
1008 57.0 1117.36
1012 57.0625 1122.4
1017 57.25 1127.44
1021 57.375 1132.49
1026 57.4375 1137.54
1030 57.5625 1142.58
1035 57.6875 1147.62
1039 57.9375 1152.67
1044 58.125 1157.72
1048 58.1875 1162.76
1053 58.3125 1167.82
1058 58.4375 1172.87
1062 58.6875 1177.92
1067 58.875 1182.94
1071 59.0625 1188.0
1076 59.1875 1193.05
1080 59.25 1198.08
1085 59.3125 1203.13
1089 59.4375 1208.18
1094 59.5625 1213.22
1098 59.625 1218.25
1103 59.75 1223.28
1107 59.8125 1228.32
1112 59.9375 1233.36
1116 60.0625 1238.4
1121 60.1875 1243.43
1125 60.25 1248.47
1130 60.375 1253.52
1135 60.5 1258.57
1139 60.5625 1263.62
1144 60.75 1268.66
1148 60.8125 1273.71
1153 60.9375 1278.75
1157 61.0 1283.8
1162 61.125 1288.83
1166 61.25 1293.88
1171 61.3125 1298.93
1176 61.375 1303.96
1180 61.5 1309.08
1185 61.5625 1314.13
1189 61.6875 1319.16
1194 61.8125 1324.21
1198 61.875 1329.24
1203 62.0 1334.3
1207 62.125 1339.34
1212 62.1875 1344.38
1216 62.3125 1349.43
1221 62.4375 1354.45
1226 62.5625 1359.51
1230 62.625 1364.63
1235 62.75 1369.63
1239 62.875 1374.66
1244 62.9375 1379.7
1248 63.0625 1384.75
1253 63.25 1389.77
1257 63.3125 1394.82
1262 63.4375 1399.87
1267 63.5625 1404.92
1271 63.6875 1409.95
1276 63.75 1415.0
1280 63.8125 1420.04
1285 63.875 1425.09
1289 64.0 1430.12
1294 64.0625 1435.17
