WI06 TVD02 TVD06 PT1000_1 "Master clock"
425 35.625 27.125 38.75 818.55
428 35.75 27.1875 38.875 823.6
431 35.875 27.25 39.0 828.64
433 35.9375 27.3125 39.125 833.68
436 36.0625 27.375 39.125 838.71
438 36.125 27.4375 39.125 843.76
441 36.1875 27.5 39.125 848.81
443 36.3125 27.5625 39.3125 853.85
446 36.375 27.625 39.4375 858.89
448 36.5 27.6875 39.5625 863.94
451 36.5625 27.75 39.625 868.98
454 36.6875 27.8125 39.625 874.02
456 36.75 27.875 39.6875 879.07
459 36.8125 27.9375 39.8125 884.1
461 36.9375 28.0625 40.0 889.15
464 37.0625 28.125 40.1875 894.19
466 37.1875 28.1875 40.1875 899.24
469 37.25 28.25 40.375 904.29
471 37.375 28.3125 40.4375 909.33
474 37.5 28.3125 40.5 914.38
477 37.625 28.4375 40.5 919.44
479 37.6875 28.5 40.625 924.49
482 37.75 28.5625 40.6875 929.54
484 37.875 28.625 40.75 934.58
487 37.9375 28.6875 40.75 939.64
490 38.0 28.75 40.875 944.69
492 38.0625 28.8125 41.0 949.72
495 38.1875 28.875 41.125 954.76
497 38.25 28.9375 41.125 959.81
500 38.375 29.0 41.3125 964.86
502 38.5 29.0625 41.4375 969.9
505 38.5625 29.125 41.5625 974.95
508 38.6875 29.1875 41.625 979.99
510 38.75 29.25 41.75 985.04
513 38.9375 29.3125 41.75 990.06
516 39.0 29.375 41.875 995.11
518 39.125 29.4375 41.75 1000.16
521 39.1875 29.5 41.75 1005.21
523 39.25 29.5625 41.8125 1010.25
526 39.3125 29.6875 41.9375 1015.29
529 39.375 29.75 42.0 1020.34
531 39.5 29.75 42.0625 1025.38
534 39.5 29.875 42.125 1030.41
536 39.625 29.9375 42.3125 1035.46
539 39.6875 30.0 42.375 1040.5
542 39.75 30.0625 42.4375 1045.54
544 39.8125 30.125 42.5 1050.57
547 39.9375 30.1875 42.625 1055.61
550 40.0 30.3125 42.625 1060.66
552 40.0625 30.375 42.75 1065.7
555 40.125 30.4375 42.75 1070.74
557 40.25 30.5 42.8125 1075.77
560 40.3125 30.5625 42.9375 1080.83
565 40.5 30.6875 43.0625 1087.57
568 40.5625 30.75 43.25 1092.97
570 40.6875 30.8125 43.5 1098.01
573 40.75 30.875 43.5 1103.06
575 40.8125 31.0 43.5 1108.09
578 40.875 31.0 43.5625 1113.14
580 41.0 31.0625 43.5 1118.18
583 41.0625 31.125 43.5625 1123.22
586 41.1875 31.1875 43.5 1128.27
588 41.1875 31.25 43.5625 1133.31
591 41.25 31.3125 43.6875 1138.36
593 41.375 31.375 43.9375 1143.4
596 41.4375 31.4375 44.0625 1148.46
598 41.5 31.5625 44.125 1153.51
601 41.5625 31.625 44.0625 1158.56
603 41.625 31.6875 44.1875 1163.58
606 41.75 31.75 44.25 1168.63
609 41.8125 31.8125 44.25 1173.68
611 41.875 31.875 44.375 1178.7
614 41.9375 31.9375 44.5625 1183.75
616 42.0625 32.0 44.5625 1188.78
619 42.0625 32.0625 44.5625 1193.82
621 42.1875 32.125 44.625 1198.86
624 42.25 32.1875 44.6875 1203.91
626 42.3125 32.25 45.0 1208.96
629 42.4375 32.3125 45.125 1214.0
632 42.5 32.375 45.0625 1219.05
634 42.625 32.4375 45.3125 1224.09
637 42.6875 32.5 45.5 1229.13
639 42.75 32.5625 45.5625 1234.18
642 42.8125 32.625 45.5 1239.23
644 42.9375 32.6875 45.6875 1244.29
647 42.9375 32.75 45.75 1249.34
650 43.0625 32.8125 45.625 1254.39
652 43.125 32.875 45.5 1259.44
655 43.1875 32.9375 45.5625 1264.48
657 43.1875 33.0 45.625 1269.54
660 43.3125 33.0625 45.875 1274.58
662 43.4375 33.125 46.125 1279.61
665 43.5 33.1875 46.125 1284.65
668 43.5625 33.25 46.25 1289.7
670 43.625 33.3125 46.25 1294.74
673 43.6875 33.3125 46.25 1299.79
