WI06 TVD02 TVD06 TVD03 PT1000_1 "Master clock"
0 20.6875 20.5625 20.5625 20.6875 0.16
0 20.625 20.5625 20.5625 20.75 5.22
3 20.6875 20.5625 20.5625 20.75 10.25
5 20.625 20.5625 20.625 20.75 15.3
8 20.6875 20.5625 20.5625 20.75 20.34
11 20.625 20.5625 20.5625 20.6875 25.39
13 20.625 20.5 20.625 20.75 30.43
16 20.625 20.5625 20.625 20.75 35.48
19 20.625 20.5625 20.625 20.6875 40.52
21 20.625 20.5625 20.625 20.6875 45.57
24 20.6875 20.5625 20.6875 20.75 50.61
27 20.625 20.5625 20.75 20.75 55.69
29 20.6875 20.5625 20.8125 20.75 60.69
32 20.6875 20.5625 20.8125 20.75 65.73
35 20.6875 20.5625 20.875 20.75 70.79
37 20.6875 20.5625 20.875 20.8125 75.84
40 20.6875 20.5625 20.9375 20.8125 80.88
42 20.6875 20.5625 20.9375 20.8125 85.93
45 20.6875 20.5625 21.0 20.875 90.96
48 20.6875 20.5625 21.0 20.875 96.01
50 20.75 20.5625 21.125 20.875 101.05
53 20.75 20.5625 21.25 20.9375 106.09
56 20.75 20.5 21.4375 21.0 111.14
58 20.8125 20.5625 21.5 21.0 116.19
61 20.8125 20.5625 21.6875 21.0625 121.24
64 20.8125 20.5625 21.8125 21.125 126.29
66 20.875 20.5625 21.9375 21.125 131.34
69 20.875 20.5625 22.0625 21.1875 136.38
71 20.875 20.5625 22.125 21.25 141.43
77 20.9375 20.5625 22.375 21.3125 146.65
79 21.0 20.5625 22.625 21.4375 151.79
82 21.0 20.5625 22.8125 21.5 156.84
84 21.0625 20.5625 23.0 21.5 161.89
87 21.0625 20.625 23.1875 21.625 166.94
90 21.125 20.625 23.4375 21.6875 171.99
92 21.1875 20.5625 23.75 21.75 177.04
95 21.25 20.625 24.0 21.9375 182.09
97 21.25 20.625 24.1875 22.0 187.14
100 21.3125 20.625 24.3125 22.0625 192.18
103 21.3125 20.6875 24.4375 22.0625 197.22
105 21.375 20.6875 24.5 22.125 202.27
108 21.4375 20.6875 24.75 22.25 207.32
110 21.5 20.6875 24.9375 22.3125 212.36
113 21.5625 20.6875 25.0625 22.375 217.41
116 21.625 20.75 25.4375 22.4375 222.45
118 21.6875 20.8125 25.875 22.5625 227.5
121 21.75 20.75 26.125 22.5625 232.54
123 21.75 20.8125 26.3125 22.6875 237.58
126 21.8125 20.8125 26.4375 22.6875 242.63
129 21.875 20.8125 26.5 22.75 247.68
131 21.9375 20.875 26.5 22.75 252.72
134 22.0 20.875 26.625 22.875 257.77
136 22.0625 20.875 26.9375 23.0 262.82
139 22.1875 20.9375 27.4375 23.125 267.86
142 22.1875 20.9375 27.75 23.25 272.91
144 22.25 21.0 28.125 23.375 277.95
147 22.3125 21.0 28.3125 23.5 283.0
149 22.375 21.0625 28.3125 23.5 288.04
152 22.4375 21.0625 28.5 23.5625 293.09
155 22.5 21.125 28.8125 23.625 298.13
157 22.5625 21.125 29.0625 23.6875 303.18
160 22.625 21.1875 29.3125 23.8125 308.23
162 22.6875 21.1875 29.625 24.0 313.27
165 22.8125 21.25 29.9375 24.0625 318.32
168 22.875 21.25 30.125 24.1875 323.36
170 22.9375 21.3125 30.3125 24.1875 328.41
173 23.0 21.3125 30.5625 24.3125 333.46
175 23.0625 21.375 30.875 24.3125 338.5
178 23.1875 21.4375 31.1875 24.5 343.55
181 23.25 21.4375 31.375 24.625 348.6
183 23.3125 21.5 31.625 24.8125 353.65
186 23.4375 21.5625 31.8125 24.8125 358.7
188 23.5 21.5625 31.9375 24.875 363.75
191 23.5625 21.625 31.9375 24.875 368.79
194 23.625 21.625 32.1875 24.9375 373.84
196 23.6875 21.6875 32.6875 25.1875 378.87
199 23.8125 21.6875 33.0 25.375 383.92
201 23.875 21.75 33.1875 25.4375 388.98
204 23.9375 21.75 33.3125 25.5625 394.05
207 24.0 21.8125 33.375 25.5625 399.12
209 24.0625 21.875 33.625 25.625 404.19
212 24.1875 21.9375 34.125 25.8125 409.26
215 24.25 21.9375 34.5625 26.0 414.33
217 24.375 22.0 34.6875 26.0625 419.4
220 24.375 22.0625 34.625 26.0625 424.46
222 24.5 22.0625 34.5 26.0625 429.51
225 24.5625 22.125 34.6875 26.125 434.56
228 24.625 22.1875 35.0625 26.375 439.61
230 24.75 22.1875 35.5625 26.5625 444.66
233 24.875 22.25 35.8125 26.5625 449.71
235 24.875 22.3125 36.0 26.625 454.76
238 24.9375 22.375 36.0 26.625 459.81
241 25.0625 22.375 36.1875 26.6875 464.85
243 25.125 22.4375 36.625 26.875 469.9
246 25.1875 22.5 36.9375 26.9375 474.95
249 25.3125 22.5 37.125 27.0625 479.99
251 25.375 22.5625 37.1875 27.1875 485.04
254 25.4375 22.625 37.125 27.125 490.07
256 25.5625 22.6875 37.125 27.1875 495.12
259 25.625 22.75 37.4375 27.25 500.17
262 25.6875 22.75 37.8125 27.375 505.21
264 25.8125 22.8125 38.3125 27.625 510.25
267 25.9375 22.875 38.4375 27.75 515.29
269 25.9375 22.9375 38.3125 27.6875 520.33
272 26.0625 22.9375 38.4375 27.75 525.38
275 26.1875 23.0 38.75 27.875 530.42
277 26.25 23.0625 39.125 28.0 535.57
280 26.3125 23.125 39.5 28.1875 540.69
282 26.375 23.1875 39.625 28.125 545.69
285 26.4375 23.25 39.4375 28.25 550.71
288 26.5 23.25 39.4375 28.25 555.74
290 26.5625 23.375 39.6875 28.375 560.79
293 26.6875 23.375 40.1875 28.4375 565.83
295 26.75 23.4375 40.5625 28.625 570.87
298 26.8125 23.5625 40.75 28.8125 575.92
301 26.875 23.5625 40.625 28.75 580.95
303 26.9375 23.625 40.625 28.875 586.0
306 27.0 23.6875 40.9375 29.0 591.05
308 27.0625 23.75 41.0625 29.0 596.1
311 27.125 23.8125 41.375 29.0625 601.14
314 27.1875 23.875 41.75 29.1875 606.19
316 27.25 23.875 42.0 29.25 611.24
319 27.3125 23.9375 42.1875 29.25 616.28
321 27.375 24.0 42.125 29.3125 621.33
324 27.5 24.0625 42.0625 29.375 626.38
327 27.5625 24.1875 42.25 29.4375 631.43
332 27.75 24.25 42.6875 29.6875 636.64
335 27.8125 24.3125 43.0 29.75 641.64
337 27.9375 24.375 43.1875 29.875 646.64
340 28.0 24.375 43.3125 29.875 651.64
342 28.0625 24.4375 43.25 29.875 656.66
345 28.125 24.5 43.5 30.125 661.7
348 28.1875 24.5 43.875 30.1875 666.74
350 28.25 24.5625 44.0625 30.25 671.78
353 28.3125 24.6875 44.125 30.3125 676.82
356 28.375 24.6875 44.125 30.4375 681.86
358 28.5 24.75 44.3125 30.5625 686.9
361 28.5625 24.8125 44.5 30.5625 691.94
363 28.625 24.875 44.5625 30.5625 696.98
366 28.6875 24.9375 44.8125 30.625 702.02
369 28.75 25.0 45.0625 30.75 707.08
371 28.875 25.0625 45.3125 30.9375 712.12
374 28.9375 25.125 45.5625 31.0 717.17
376 29.0 25.1875 45.4375 31.0 722.21
379 29.0625 25.25 45.375 31.0625 727.27
382 29.125 25.3125 45.4375 31.0625 732.3
384 29.125 25.375 45.5625 31.1875 737.35
387 29.1875 25.4375 45.8125 31.25 742.4
389 29.3125 25.5 46.0 31.4375 747.44
392 29.375 25.5625 46.0 31.5 752.49
395 29.4375 25.5625 46.0 31.625 757.53
397 29.5625 25.6875 46.25 31.75 762.57
400 29.625 25.6875 46.5625 31.8125 767.62
403 29.625 25.75 46.5625 31.75 772.67
405 29.6875 25.8125 46.4375 31.875 777.71
408 29.8125 25.875 46.3125 31.875 782.76
410 29.875 25.9375 46.3125 31.875 787.8
413 29.9375 26.0 46.8125 32.0625 792.84
416 30.0 26.0625 47.125 32.25 797.89
418 30.0625 26.125 47.3125 32.3125 802.94
421 30.125 26.1875 47.375 32.4375 807.99
423 30.1875 26.25 47.4375 32.4375 813.04
426 30.25 26.25 47.375 32.375 818.08
429 30.375 26.375 47.4375 32.4375 823.13
431 30.375 26.4375 47.6875 32.5 828.17
434 30.5 26.4375 48.0 32.8125 833.22
437 30.5625 26.5625 48.0 32.8125 838.26
439 30.6875 26.625 48.25 32.875 843.31
442 30.75 26.625 48.5625 33.0625 848.36
444 30.8125 26.6875 48.5625 33.125 853.4
447 30.875 26.75 48.625 33.125 858.46
450 30.9375 26.8125 48.5625 33.125 863.51
452 31.0 26.875 48.8125 33.1875 868.55
455 31.0 26.9375 49.3125 33.1875 873.6
458 31.0625 26.9375 49.875 33.3125 878.65
460 31.125 27.0 49.9375 33.375 883.7
463 31.1875 27.0625 49.75 33.375 888.75
465 31.25 27.125 49.5625 33.375 893.8
468 31.3125 27.1875 49.75 33.5 898.93
471 31.375 27.25 50.125 33.6875 904.02
473 31.4375 27.3125 50.5625 33.75 909.11
476 31.5 27.375 50.625 33.875 914.17
479 31.5625 27.4375 50.5625 33.9375 919.23
481 31.6875 27.5 50.625 33.9375 924.28
484 31.75 27.5625 50.5625 33.8125 929.34
486 31.8125 27.625 50.8125 33.9375 934.39
489 31.875 27.625 51.0625 34.0 939.44
492 31.9375 27.6875 51.3125 34.1875 944.48
494 32.0 27.75 51.3125 34.1875 949.52
497 32.0625 27.8125 51.1875 34.1875 954.57
499 32.125 27.875 51.375 34.25 959.61
502 32.1875 27.9375 51.625 34.25 964.65
505 32.25 28.0 51.875 34.3125 969.71
507 32.25 28.0625 52.0625 34.375 974.75
510 32.3125 28.125 51.875 34.5 979.8
513 32.375 28.1875 51.6875 34.5 984.84
515 32.5 28.25 51.8125 34.5625 989.88
518 32.625 28.3125 52.25 34.6875 994.93
520 32.625 28.375 52.625 34.875 999.97
523 32.75 28.4375 52.875 35.125 1005.02
526 32.75 28.5 52.8125 35.125 1010.07
528 32.8125 28.625 52.8125 35.1875 1015.12
531 32.875 28.6875 52.75 35.1875 1020.16
534 32.875 28.75 52.625 35.1875 1025.2
536 32.9375 28.75 52.625 35.3125 1030.25
539 33.0 28.875 53.0 35.375 1035.3
541 33.125 28.9375 53.25 35.75 1040.34
544 33.1875 29.0 53.3125 35.75 1045.39
547 33.25 29.0625 53.3125 35.6875 1050.44
549 33.3125 29.125 53.5625 35.625 1055.48
552 33.375 29.125 53.5625 35.6875 1060.54
555 33.375 29.25 53.4375 35.5625 1065.58
557 33.4375 29.25 53.4375 35.625 1070.69
560 33.5 29.3125 53.875 35.9375 1075.69
562 33.5625 29.4375 53.9375 35.9375 1080.72
565 33.625 29.5 53.875 35.875 1085.77
568 33.6875 29.5 54.0 36.0625 1090.82
570 33.75 29.625 54.3125 36.0625 1095.87
573 33.75 29.625 54.375 36.1875 1100.91
576 33.875 29.6875 54.1875 36.125 1105.96
578 33.9375 29.75 54.3125 36.125 1111.01
581 34.0 29.875 54.625 36.25 1116.05
583 34.0625 29.875 55.1875 36.5 1121.1
586 34.1875 29.9375 55.6875 36.8125 1126.15
589 34.25 30.0625 55.6875 36.6875 1131.2
591 34.25 30.0625 55.5625 36.75 1136.24
594 34.3125 30.125 55.625 36.6875 1141.29
596 34.375 30.25 55.625 36.875 1146.34
599 34.4375 30.25 55.5625 36.8125 1151.38
602 34.5 30.3125 55.8125 36.875 1156.43
607 34.6875 30.4375 56.375 37.25 1161.64
609 34.75 30.5 56.25 37.25 1166.64
612 34.8125 30.5625 56.1875 37.25 1171.64
615 34.875 30.625 56.4375 37.125 1176.64
617 34.9375 30.6875 56.875 37.375 1181.67
620 35.0 30.75 57.3125 37.3125 1186.72
622 35.0625 30.8125 57.3125 37.5625 1191.77
625 35.125 30.875 57.3125 37.4375 1196.81
628 35.1875 30.9375 57.125 37.5 1201.87
630 35.1875 31.0 57.3125 37.5625 1206.92
633 35.25 31.0625 57.875 37.6875 1211.96
635 35.4375 31.0625 58.25 38.0 1217.01
638 35.4375 31.1875 58.5 38.0 1222.05
641 35.5 31.25 58.4375 37.9375 1227.09
643 35.5625 31.3125 58.5 37.875 1232.14
646 35.5625 31.375 58.5625 37.75 1237.19
648 35.625 31.4375 58.6875 38.0625 1242.23
651 35.6875 31.5 58.875 38.125 1247.28
654 35.75 31.5625 58.9375 38.1875 1252.33
656 35.8125 31.625 58.9375 38.1875 1257.38
659 35.8125 31.6875 59.1875 38.3125 1262.43
661 35.875 31.75 59.3125 38.375 1267.47
664 35.9375 31.8125 59.3125 38.4375 1272.51
667 36.0 31.875 59.125 38.3125 1277.56
669 36.0625 31.9375 59.3125 38.375 1282.61
672 36.125 32.0 59.5625 38.4375 1287.66
675 36.125 32.0625 59.9375 38.4375 1292.71
677 36.25 32.125 60.25 38.5625 1297.75
680 36.375 32.1875 60.75 38.8125 1302.79
682 36.375 32.25 60.625 38.9375 1307.85
685 36.4375 32.3125 60.4375 38.875 1312.89
688 36.5 32.375 60.125 38.875 1317.94
690 36.5 32.4375 60.0625 38.75 1322.99
693 36.5625 32.5 60.375 38.875 1328.04
695 36.625 32.5625 60.75 39.0 1333.08
698 36.6875 32.625 60.75 39.125 1338.14
701 36.75 32.6875 60.6875 39.125 1343.18
703 36.75 32.75 60.75 39.0 1348.23
706 36.8125 32.875 60.625 39.125 1353.27
709 36.8125 32.875 60.4375 39.0 1358.32
711 36.875 32.9375 60.4375 39.125 1363.38
714 36.9375 33.0 60.4375 39.125 1368.42
716 37.0 33.0625 60.625 39.1875 1373.48
719 37.0625 33.0625 60.9375 39.4375 1378.53
722 37.125 33.125 61.25 39.375 1383.58
724 37.125 33.1875 61.375 39.4375 1388.63
727 37.1875 33.25 61.8125 39.5625 1393.68
729 37.25 33.3125 61.9375 39.625 1398.73
732 37.3125 33.375 61.8125 39.6875 1403.77
734 37.3125 33.4375 61.75 39.6875 1408.83
737 37.4375 33.5 62.0625 39.8125 1413.87
740 37.5 33.5625 62.4375 40.0 1418.92
742 37.625 33.625 62.5 40.0625 1423.97
745 37.625 33.6875 62.375 40.0625 1429.02
747 37.6875 33.75 62.5 40.0625 1434.06
750 37.75 33.8125 62.9375 40.1875 1439.1
752 37.8125 33.875 63.0625 40.3125 1444.14
755 37.875 33.9375 62.9375 40.375 1449.19
758 37.9375 34.0 62.875 40.25 1454.24
760 38.0 34.0625 63.25 40.5 1459.28
763 38.0625 34.0625 63.4375 40.5625 1464.32
765 38.125 34.1875 63.4375 40.5625 1469.37
768 38.125 34.1875 63.5 40.5 1474.42
770 38.125 34.25 63.625 40.4375 1479.46
773 38.1875 34.3125 63.6875 40.5625 1484.51
776 38.25 34.375 63.6875 40.5625 1489.56
778 38.3125 34.4375 63.625 40.6875 1494.6
781 38.375 34.5 63.875 40.6875 1499.64
783 38.375 34.5625 64.125 40.75 1504.69
786 38.4375 34.625 64.3125 40.75 1509.74
788 38.5 34.625 64.4375 40.8125 1514.78
791 38.5 34.75 64.375 40.9375 1519.82
794 38.5625 34.75 64.75 40.9375 1524.87
796 38.625 34.8125 64.75 40.9375 1529.93
799 38.6875 34.875 64.8125 41.0 1534.99
801 38.6875 34.9375 64.6875 41.0 1540.05
804 38.75 35.0 64.75 41.0625 1545.11
806 38.875 35.0 65.125 41.375 1550.17
809 38.9375 35.0625 65.5 41.5 1555.24
812 39.0 35.125 65.375 41.4375 1560.3
814 39.0 35.1875 65.3125 41.375 1565.36
817 39.125 35.25 65.125 41.375 1570.41
819 39.1875 35.3125 65.1875 41.5 1575.45
822 39.1875 35.375 65.5 41.625 1580.5
824 39.3125 35.4375 65.6875 42.0 1585.55
827 39.375 35.5 65.9375 42.0 1590.69
830 39.4375 35.5625 65.9375 41.9375 1595.73
832 39.5 35.625 66.125 42.25 1600.76
835 39.5625 35.6875 66.0625 42.125 1605.8
837 39.625 35.75 66.0 42.0625 1610.85
840 39.6875 35.8125 66.0 42.0625 1615.89
842 39.6875 35.875 66.25 42.0625 1620.94
845 39.75 35.875 66.25 42.125 1625.98
847 39.8125 36.0 66.3125 42.3125 1631.02
850 39.875 36.0 66.5625 42.375 1636.07
853 39.875 36.0625 67.125 42.375 1641.12
855 39.9375 36.125 67.5625 42.5625 1646.16
858 40.0 36.1875 67.625 42.5 1651.21
860 40.0 36.25 67.4375 42.4375 1656.25
863 40.0625 36.3125 67.625 42.5 1661.3
865 40.0625 36.3125 67.625 42.5 1666.35
868 40.125 36.4375 67.6875 42.4375 1671.4
873 40.25 36.5 68.0625 42.6875 1676.64
876 40.3125 36.5625 68.25 42.6875 1681.64
878 40.3125 36.625 68.375 42.8125 1686.64
881 40.375 36.6875 68.4375 42.8125 1691.64
883 40.4375 36.75 68.5 42.75 1696.64
886 40.4375 36.75 68.4375 42.75 1701.68
888 40.5 36.8125 68.5625 42.8125 1706.72
891 40.5625 36.875 68.9375 43.0625 1711.77
893 40.625 36.9375 69.125 43.125 1716.82
896 40.6875 37.0 69.125 43.0625 1721.86
899 40.75 37.0625 69.25 43.1875 1726.9
901 40.8125 37.125 69.3125 43.25 1731.96
904 40.8125 37.125 69.375 43.25 1736.99
906 40.9375 37.1875 69.4375 43.375 1742.03
909 40.9375 37.25 69.625 43.3125 1747.08
911 41.0625 37.3125 69.5625 43.375 1752.13
914 41.0625 37.375 69.3125 43.3125 1757.18
917 41.125 37.375 69.5 43.6875 1762.22
919 41.25 37.4375 69.3125 43.8125 1767.26
922 41.25 37.5 69.1875 43.625 1772.31
924 41.3125 37.5625 69.25 43.6875 1777.36
927 41.375 37.625 69.375 43.8125 1782.41
929 41.375 37.6875 69.375 43.6875 1787.46
932 41.375 37.6875 69.5625 43.625 1792.52
934 41.4375 37.75 69.5625 43.8125 1797.56
937 41.4375 37.8125 69.6875 43.8125 1802.61
940 41.5 37.875 69.75 43.6875 1807.66
942 41.5625 37.9375 69.9375 43.75 1812.71
945 41.625 37.9375 70.4375 44.0 1817.75
947 41.6875 38.0 70.5625 44.0 1822.8
950 41.75 38.0625 71.0 44.1875 1827.85
952 41.8125 38.125 70.6875 44.25 1832.89
955 41.8125 38.1875 70.5 44.1875 1837.94
958 41.875 38.25 70.4375 44.0625 1842.99
960 41.875 38.3125 70.4375 44.3125 1848.03
963 41.9375 38.3125 70.4375 44.25 1853.08
965 42.0 38.375 70.6875 44.375 1858.14
968 42.0 38.4375 71.125 44.375 1863.2
970 42.125 38.5 71.25 44.6875 1868.5
973 42.125 38.5625 71.25 44.75 1873.55
976 42.1875 38.5625 70.875 44.625 1878.61
978 42.1875 38.625 70.8125 44.625 1883.66
981 42.25 38.6875 70.8125 44.625 1888.71
983 42.3125 38.75 70.9375 44.5625 1893.76
986 42.3125 38.8125 71.125 44.8125 1898.79
989 42.4375 38.875 71.1875 45.125 1903.84
991 42.5 38.9375 71.1875 45.0625 1908.89
994 42.5625 39.0 71.1875 45.0 1913.93
996 42.5625 39.0625 70.9375 44.9375 1918.97
999 42.625 39.125 71.0 44.9375 1924.01
1001 42.625 39.1875 71.25 44.9375 1929.06
1004 42.75 39.25 71.5 45.125 1934.11
1007 42.75 39.25 71.6875 45.3125 1939.14
1009 42.8125 39.3125 71.6875 45.3125 1944.18
1012 42.8125 39.4375 71.8125 45.125 1949.22
1014 42.875 39.5 71.8125 45.3125 1954.26
1017 42.9375 39.5 71.8125 45.3125 1959.31
1020 43.0 39.5625 72.0 45.4375 1964.36
1022 43.0625 39.625 72.125 45.4375 1969.4
1025 43.125 39.625 72.375 45.5 1974.45
1027 43.1875 39.6875 72.75 45.5625 1979.5
1030 43.1875 39.75 72.875 45.625 1984.55
1032 43.3125 39.8125 73.125 45.875 1989.6
1035 43.3125 39.875 73.1875 45.875 1994.65
1038 43.4375 39.875 73.1875 46.125 1999.68
