Wattmetr "Temp 1" "Temp 4" "Temp 3" "Temp 0" "Temp 2" "Temp 5" "Master clock"
0.0 20.125 21.75 21.9375 20.25 20.125 22.0 0.01
0.0 20.125 21.75 21.9375 20.25 20.125 22.0 1.01
4 20.125 21.75 21.875 20.1875 20.125 22.0 2.01
4 20.125 21.75 21.875 20.1875 20.125 22.0 3.02
4 20.125 21.75 21.875 20.1875 20.125 22.0 4.02
4 20.125 21.75 21.875 20.1875 20.125 22.0 5.02
4 20.125 21.75 21.875 20.1875 20.125 22.0 6.02
21 20.125 21.6875 21.875 20.25 20.125 22.0 7.03
21 20.125 21.6875 21.875 20.25 20.125 22.0 8.03
21 20.125 21.6875 21.875 20.25 20.125 22.0 9.03
21 20.125 21.6875 21.875 20.25 20.125 22.0 10.79
21 20.125 21.6875 21.875 20.25 20.125 22.0 11.04
39 20.125 21.75 21.875 20.25 20.125 22.0625 12.04
39 20.125 21.75 21.875 20.25 20.125 22.0625 13.04
39 20.125 21.75 21.875 20.25 20.125 22.0625 14.04
39 20.125 21.75 21.875 20.25 20.125 22.0625 15.05
39 20.125 21.75 21.875 20.25 20.125 22.0625 16.05
55 20.125 21.875 22.0 20.25 20.125 22.125 17.05
55 20.125 21.875 22.0 20.25 20.125 22.125 18.06
55 20.125 21.875 22.0 20.25 20.125 22.125 19.06
55 20.125 21.875 22.0 20.25 20.125 22.125 20.06
55 20.125 21.875 22.0 20.25 20.125 22.125 21.06
72 20.1875 22.0 22.125 20.1875 20.125 22.25 22.07
72 20.1875 22.0 22.125 20.1875 20.125 22.25 23.07
72 20.1875 22.0 22.125 20.1875 20.125 22.25 24.07
72 20.1875 22.0 22.125 20.1875 20.125 22.25 25.08
72 20.1875 22.0 22.125 20.1875 20.125 22.25 26.08
89 20.1875 22.1875 22.25 20.1875 20.125 22.375 27.08
89 20.1875 22.1875 22.25 20.1875 20.125 22.375 28.08
89 20.1875 22.1875 22.25 20.1875 20.125 22.375 29.09
89 20.1875 22.1875 22.25 20.1875 20.125 22.375 30.09
89 20.1875 22.1875 22.25 20.1875 20.125 22.375 31.09
106 20.125 22.375 22.5 20.125 20.125 22.625 32.09
106 20.125 22.375 22.5 20.125 20.125 22.625 33.1
106 20.125 22.375 22.5 20.125 20.125 22.625 34.1
106 20.125 22.375 22.5 20.125 20.125 22.625 35.1
106 20.125 22.375 22.5 20.125 20.125 22.625 36.1
122 20.125 22.625 22.6875 20.125 20.125 22.8125 37.11
122 20.125 22.625 22.6875 20.125 20.125 22.8125 38.11
122 20.125 22.625 22.6875 20.125 20.125 22.8125 39.11
122 20.125 22.625 22.6875 20.125 20.125 22.8125 40.12
122 20.125 22.625 22.6875 20.125 20.125 22.8125 41.12
139 20.125 22.9375 23.0 20.125 20.125 23.0625 42.12
139 20.125 22.9375 23.0 20.125 20.125 23.0625 43.12
139 20.125 22.9375 23.0 20.125 20.125 23.0625 44.13
139 20.125 22.9375 23.0 20.125 20.125 23.0625 45.13
139 20.125 22.9375 23.0 20.125 20.125 23.0625 46.13
156 20.125 23.3125 23.25 20.1875 20.1875 23.375 47.13
156 20.125 23.3125 23.25 20.1875 20.1875 23.375 48.14
156 20.125 23.3125 23.25 20.1875 20.1875 23.375 49.14
156 20.125 23.3125 23.25 20.1875 20.1875 23.375 50.14
156 20.125 23.3125 23.25 20.1875 20.1875 23.375 51.15
173 20.125 23.6875 23.5625 20.1875 20.1875 23.6875 52.15
