Wattmetr "Temp 1" "Temp 4" "Temp 3" "Temp 0" "Temp 2" "Temp 5" "Master clock"
0.0 25.6875 26.6875 26.375 25.625 26.25 27.25 0.02
0.0 25.625 26.6875 26.3125 25.5 26.0625 27.25 1.06
0.0 25.625 26.6875 26.3125 25.5 26.0625 27.25 2.09
0.0 25.625 26.6875 26.3125 25.5 26.0625 27.25 3.13
0.0 25.625 26.6875 26.3125 25.5 26.0625 27.25 4.16
0.0 25.625 26.6875 26.3125 25.5 26.0625 27.25 5.21
16 25.5625 26.6875 26.3125 25.4375 26.0 27.25 6.24
16 25.5625 26.6875 26.3125 25.4375 26.0 27.25 7.28
16 25.5625 26.6875 26.3125 25.4375 26.0 27.25 8.31
16 25.5625 26.6875 26.3125 25.4375 26.0 27.25 9.36
16 25.5625 26.6875 26.3125 25.4375 26.0 27.25 10.41
33 25.5 26.6875 26.375 25.4375 25.9375 27.3125 11.45
33 25.5 26.6875 26.375 25.4375 25.9375 27.3125 12.49
33 25.5 26.6875 26.375 25.4375 25.9375 27.3125 13.52
33 25.5 26.6875 26.375 25.4375 25.9375 27.3125 14.56
50 25.5 26.8125 26.5 25.4375 25.9375 27.375 15.66
50 25.5 26.8125 26.5 25.4375 25.9375 27.375 16.69
50 25.5 26.8125 26.5 25.4375 25.9375 27.375 17.73
50 25.5 26.8125 26.5 25.4375 25.9375 27.375 18.78
50 25.5 26.8125 26.5 25.4375 25.9375 27.375 19.82
67 25.4375 27.0 26.6875 25.4375 25.8125 27.5625 20.87
67 25.4375 27.0 26.6875 25.4375 25.8125 27.5625 21.91
67 25.4375 27.0 26.6875 25.4375 25.8125 27.5625 22.95
67 25.4375 27.0 26.6875 25.4375 25.8125 27.5625 23.99
67 25.4375 27.0 26.6875 25.4375 25.8125 27.5625 25.02
84 25.4375 27.25 26.9375 25.375 25.75 27.75 26.07
84 25.4375 27.25 26.9375 25.375 25.75 27.75 27.1
84 25.4375 27.25 26.9375 25.375 25.75 27.75 28.15
84 25.4375 27.25 26.9375 25.375 25.75 27.75 29.18
84 25.4375 27.25 26.9375 25.375 25.75 27.75 30.24
101 25.375 27.5625 27.25 25.3125 25.6875 28.0625 31.28
101 25.375 27.5625 27.25 25.3125 25.6875 28.0625 32.31
101 25.375 27.5625 27.25 25.3125 25.6875 28.0625 33.34
101 25.375 27.5625 27.25 25.3125 25.6875 28.0625 34.37
101 25.375 27.5625 27.25 25.3125 25.6875 28.0625 35.42
