WI06 TVD02 "Master clock"
0 21.1875 0.52
2 21.1875 5.52
5 21.1875 10.52
7 21.1875 15.52
10 21.1875 20.54
12 21.1875 25.57
15 21.1875 30.62
18 21.1875 35.65
20 21.1875 40.68
23 21.1875 45.74
25 21.1875 50.78
28 21.1875 55.82
31 21.1875 60.87
33 21.1875 65.91
36 21.1875 70.96
39 21.1875 75.99
41 21.1875 81.03
44 21.1875 86.06
46 21.1875 91.12
49 21.1875 96.17
52 21.25 101.21
54 21.25 106.25
57 21.25 111.29
59 21.3125 116.33
62 21.3125 121.36
64 21.3125 126.41
67 21.375 131.45
70 21.375 136.49
72 21.4375 141.65
75 21.4375 146.7
77 21.5 151.74
80 21.5625 156.78
83 21.5625 161.82
85 21.625 166.85
88 21.625 171.91
90 21.6875 176.95
93 21.75 181.98
96 21.8125 187.03
98 21.875 192.08
101 21.875 197.12
103 21.9375 202.17
106 22.0 207.22
108 22.125 212.26
111 22.125 217.31
114 22.1875 222.33
116 22.25 227.38
119 22.375 232.42
121 22.4375 237.48
124 22.5625 242.51
126 22.625 247.56
129 22.75 252.62
132 22.8125 257.66
134 22.875 262.69
137 22.9375 267.73
139 23.0 272.77
142 23.1875 277.84
144 23.25 282.87
147 23.375 287.92
149 23.5 292.97
152 23.5625 297.99
155 23.6875 303.04
157 23.8125 308.08
160 23.9375 313.13
162 24.0625 318.16
165 24.1875 323.21
167 24.3125 328.26
170 24.4375 333.32
173 24.5 338.35
175 24.625 343.4
178 24.75 348.44
180 24.875 353.48
183 25.0 358.52
185 25.125 363.57
188 25.25 368.61
191 25.375 373.65
193 25.4375 378.69
196 25.5625 383.74
198 25.6875 388.79
201 25.8125 393.83
203 25.9375 398.88
206 26.0625 403.93
209 26.1875 408.97
211 26.3125 414.0
214 26.4375 419.05
216 26.5625 424.12
219 26.6875 429.15
221 26.8125 434.2
224 26.9375 439.24
226 27.0625 444.29
229 27.1875 449.34
232 27.3125 454.39
234 27.4375 459.43
